Symbol,Sector,holidays
360ONE-EQ,Financial Services,22-01-2024
3MINDIA-EQ,Diversified,26-01-2024
ABB-EQ,Capital Goods,08-03-2024
ACC-EQ,Construction Materials,25-03-2024
ACMESOLAR-EQ,Power,29-03-2024
AIAENG-EQ,Capital Goods,11-04-2024
APLAPOLLO-EQ,Capital Goods,17-04-2024
AUBANK-EQ,Financial Services,01-05-2024
AWL-EQ,Fast Moving Consumer Goods,17-06-2024
AADHARHFC-EQ,Financial Services,17-07-2024
AARTIIND-EQ,Chemicals,15-08-2024
AAVAS-EQ,Financial Services,02-10-2024
ABBOTINDIA-EQ,Healthcare,01-11-2024
ACE-EQ,Capital Goods,15-11-2024
ACUTAAS-EQ,Healthcare,20-11-2024
ADANIENSOL-EQ,Power,25-12-2024
ADANIENT-EQ,Metals & Mining,26-01-2025
ADANIGREEN-EQ,Power,26-02-2025
ADANIPORTS-EQ,Services,14-03-2025
ADANIPOWER-EQ,Power,31-03-2025
ATGL-EQ,Oil Gas & Consumable Fuels,06-04-2025
ABCAPITAL-EQ,Financial Services,10-04-2025
ABFRL-EQ,Consumer Services,14-04-2025
ABLBL-EQ,Consumer Services,18-04-2025
ABREL-EQ,Realty,01-05-2025
ABSLAMC-EQ,Financial Services,07-06-2025
CPPLUS-EQ,Capital Goods,06-07-2025
AEGISLOG-EQ,Oil Gas & Consumable Fuels,15-08-2025
AEGISVOPAK-EQ,Oil Gas & Consumable Fuels,27-08-2025
AFCONS-EQ,Construction,02-10-2025
AFFLE-EQ,Information Technology,21-10-2025
AJANTPHARM-EQ,Healthcare,22-10-2025
ALKEM-EQ,Healthcare,05-11-2025
ABDL-EQ,Fast Moving Consumer Goods,25-12-2025
ARE&M-EQ,Automobile and Auto Components,26-01-2023
AMBER-EQ,Consumer Durables,07-03-2023
AMBUJACEM-EQ,Construction Materials,30-03-2023
ANANDRATHI-EQ,Financial Services,04-04-2023
ANANTRAJ-EQ,Realty,07-04-2023
ANGELONE-EQ,Financial Services,14-04-2023
ANTHEM-EQ,Healthcare,01-05-2023
ANURAS-EQ,Chemicals,29-06-2023
APARINDS-EQ,Capital Goods,15-08-2023
APOLLOHOSP-EQ,Healthcare,19-09-2023
APOLLOTYRE-EQ,Automobile and Auto Components,02-10-2023
APTUS-EQ,Financial Services,24-10-2023
ASAHIINDIA-EQ,Automobile and Auto Components,14-11-2023
ASHOKLEY-EQ,Capital Goods,27-11-2023
ASIANPAINT-EQ,Consumer Durables,25-12-2023
ASTERDM-EQ,Healthcare,20-05-2024
ASTRAL-EQ,Capital Goods,26-01-2026
ATHERENERG-EQ,Automobile and Auto Components,03-03-2026
ATUL-EQ,Chemicals,26-03-2026
AUROPHARMA-EQ,Healthcare,31-03-2026
AIIL-EQ,Financial Services,03-04-2026
DMART-EQ,Consumer Services,14-04-2026
AXISBANK-EQ,Financial Services,01-05-2026
BEML-EQ,Capital Goods,28-05-2026
BLS-EQ,Consumer Services,
BSE-EQ,Financial Services,
BAJAJ-AUTO-EQ,Automobile and Auto Components,
BAJFINANCE-EQ,Financial Services,
BAJAJFINSV-EQ,Financial Services,
BAJAJHLDNG-EQ,Financial Services,
BAJAJHFL-EQ,Financial Services,
BALKRISIND-EQ,Automobile and Auto Components,
BALRAMCHIN-EQ,Fast Moving Consumer Goods,
BANDHANBNK-EQ,Financial Services,
BANKBARODA-EQ,Financial Services,
BANKINDIA-EQ,Financial Services,
MAHABANK-EQ,Financial Services,
BATAINDIA-EQ,Consumer Durables,
BAYERCROP-EQ,Chemicals,
BELRISE-EQ,Automobile and Auto Components,
BERGEPAINT-EQ,Consumer Durables,
BDL-EQ,Capital Goods,
BEL-EQ,Capital Goods,
BHARATFORG-EQ,Automobile and Auto Components,
BHEL-EQ,Capital Goods,
BPCL-EQ,Oil Gas & Consumable Fuels,
