SYMBOL,Sector,holidays
20MICRONS-EQ,Chemicals,22-01-2024
21STCENMGM-EQ,Investment Banking & Investment Services,26-01-2024
3BBLACKBIO-EQ,NO DATA,08-03-2024
3IINFOLTD-EQ,Software & IT Services,25-03-2024
3PLAND-EQ,Investment Banking & Investment Services,29-03-2024
5PAISA-EQ,Investment Banking & Investment Services,11-04-2024
63MOONS-EQ,Software & IT Services,17-04-2024
A2ZINFRA-EQ,Construction & Engineering,01-05-2024
AAATECH-EQ,Software & IT Services,17-06-2024
AARNAV-EQ,Textiles & Apparel,17-07-2024
AARON-EQ,"Machinery, Equipment & Components",15-08-2024
AARTECH-EQ,"Machinery, Equipment & Components",02-10-2024
AARTIDRUGS-EQ,Pharmaceuticals,01-11-2024
AARTIPHARM-EQ,Pharmaceuticals,15-11-2024
AARTISURF-EQ,Chemicals,20-11-2024
AARVI-EQ,Professional & Commercial Services,25-12-2024
ABCOTS-EQ,Textiles & Apparel,26-01-2025
ABINFRA-EQ,Construction & Engineering,26-02-2025
ABMINTLLTD-EQ,Chemicals,14-03-2025
ABMKNO-EQ,NO DATA,31-03-2025
ACCELYA-EQ,Software & IT Services,06-04-2025
ACCURACY-EQ,Freight & Logistics Services,10-04-2025
ACEINTEG-EQ,Professional & Commercial Services,14-04-2025
ACI-EQ,Chemicals,18-04-2025
ACL-EQ,Construction Materials,01-05-2025
ACSTECH-EQ,NO DATA,07-06-2025
ADFFOODS-EQ,Food & Tobacco,06-07-2025
ADL-EQ,Paper & Forest Products,15-08-2025
ADOR-EQ,"Machinery, Equipment & Components",27-08-2025
ADROITINFO-EQ,Software & IT Services,02-10-2025
ADSL-EQ,Software & IT Services,21-10-2025
ADVAIT-EQ,"Machinery, Equipment & Components",22-10-2025
ADVANCE-EQ,Chemicals,05-11-2025
ADVANIHOTR-EQ,Hotels & Entertainment Services,25-12-2025
ADVENTHTL-EQ,Hotels & Entertainment Services,
ADVENZYMES-EQ,Chemicals,
AEPL-EQ,"Machinery, Equipment & Components",
AEQUS-EQ,Aerospace & Defense,
AEROENTER-EQ,Metals & Mining,
AEROFLEX-EQ,Metals & Mining,
AERONEU-EQ,Chemicals,
AETHER-EQ,Chemicals,
AFSL-EQ,Investment Banking & Investment Services,
AGARIND-EQ,Chemicals,
AGARWALEYE-EQ,Healthcare Providers & Services,
AGI-EQ,Containers & Packaging,
AGIIL-EQ,Real Estate Operations,
AGRITECH-EQ,Food & Tobacco,
AGROPHOS-EQ,Chemicals,
AHCL-EQ,Pharmaceuticals,
AHLADA-EQ,Homebuilding & Construction Supplies,
AHLEAST-EQ,Hotels & Entertainment Services,
AHLUCONT-EQ,Construction & Engineering,
AIRAN-EQ,Software & IT Services,
AIROLAM-EQ,Paper & Forest Products,
AJAXENGG-EQ,"Machinery, Equipment & Components",
AJMERA-EQ,Real Estate Operations,
AJOONI-EQ,Food & Tobacco,
AKASH-EQ,Construction & Engineering,
AKCAPIT-EQ,NO DATA,
AKG-EQ,Food & Drug Retailing,
AKI-EQ,Textiles & Apparel,
AKSHAR-EQ,Textiles & Apparel,
AKSHARCHEM-EQ,Chemicals,
AKUMS-EQ,Pharmaceuticals,
ALANKIT-EQ,Software & IT Services,
ALBERTDAVD-EQ,Pharmaceuticals,
ALEMBICLTD-EQ,Real Estate Operations,
ALGOQUANT-EQ,Financial Technology (Fintech) & Infrastructure,
ALICON-EQ,Metals & Mining,
ALIVUS-EQ,Pharmaceuticals,
ALKALI-EQ,Chemicals,
ALKYLAMINE-EQ,Chemicals,
ALLCARGO-EQ,Freight & Logistics Services,
ALLDIGI-EQ,Software & IT Services,
ALLTIME-EQ,Chemicals,
ALMONDZ-EQ,Investment Banking & Investment Services,
ALOKINDS-EQ,Textiles & Apparel,
ALPA-EQ,Pharmaceuticals,
ALPHAGEO-EQ,Metals & Mining,
AMAGI-EQ,Software & IT Services,
AMANTA-EQ,Pharmaceuticals,
AMBALALSA-EQ,NO DATA,
